refYear,continent,flow,product,value_usd
2015,Americas,Import,LNG (271111),6313646691.182
2015,Asia,Export,Gaseous NG (271121),5066425623.008
2015,Asia,Export,LNG (271111),29323020938.12
2015,Asia,Import,Gaseous NG (271121),8747555934.678
2015,Asia,Import,LNG (271111),75118912258.197
2015,Europe,Export,Gaseous NG (271121),47624711477.292
2015,Europe,Export,LNG (271111),7040622324.06
2015,Europe,Import,Gaseous NG (271121),96046621348.708
2015,Europe,Import,LNG (271111),12090585440.102
2015,Oceania,Export,Gaseous NG (271121),7851.519
2015,Oceania,Export,LNG (271111),12554421719.779
2015,Oceania,Import,LNG (271111),29877862.063
2016,Africa,Export,Gaseous NG (271121),6408002227.3289995
2016,Africa,Export,LNG (271111),3184268661.866
2016,Africa,Import,Gaseous NG (271121),245464.274
2016,Africa,Import,LNG (271111),2519051269.676
2016,Americas,Export,Gaseous NG (271121),8690747563.402
2016,Americas,Export,LNG (271111),617932938.945
2016,Americas,Import,Gaseous NG (271121),6127874660.373
2016,Americas,Import,LNG (271111),3065948000.982
2016,Asia,Export,Gaseous NG (271121),5014262065.023
2016,Asia,Export,LNG (271111),20895607397.62
2016,Asia,Import,Gaseous NG (271121),13607077792.676
2016,Asia,Import,LNG (271111),59544319330.268
2016,Europe,Export,Gaseous NG (271121),30222071488.818
2016,Europe,Export,LNG (271111),4405572170.662
2016,Europe,Import,Gaseous NG (271121),72416600814.175
2016,Europe,Import,LNG (271111),7670339199.394
2016,Oceania,Export,Gaseous NG (271121),3835.229
2016,Oceania,Export,LNG (271111),13449007801.565
2016,Oceania,Import,LNG (271111),43823.602
2017,Africa,Export,Gaseous NG (271121),2161747691.349
2017,Africa,Export,LNG (271111),2412550183.068
2017,Africa,Import,Gaseous NG (271121),869632.211
2017,Africa,Import,LNG (271111),2495973348.093
2017,Americas,Export,Gaseous NG (271121),10608544971.629
2017,Americas,Export,LNG (271111),819917374.227
2017,Americas,Import,Gaseous NG (271121),8017124866.041
2017,Americas,Import,LNG (271111),3486491268.532
2017,Asia,Export,Gaseous NG (271121),6373786742.951
2017,Asia,Export,LNG (271111),31210760217.502
2017,Asia,Import,Gaseous NG (271121),15289836953.55
2017,Asia,Import,LNG (271111),78852165620.162
2017,Europe,Export,Gaseous NG (271121),39812771895.142
2017,Europe,Export,LNG (271111),4586246159.111
2017,Europe,Import,Gaseous NG (271121),85439045319.551
2017,Europe,Import,LNG (271111),10558446519.268
2017,Oceania,Export,Gaseous NG (271121),75623.693
2017,Oceania,Export,LNG (271111),78458410.207
2017,Oceania,Import,Gaseous NG (271121),4969.439
2017,Oceania,Import,LNG (271111),189146.413
2018,Africa,Export,Gaseous NG (271121),60606.869
2018,Africa,Export,LNG (271111),3469060075.844
2018,Africa,Import,Gaseous NG (271121),271721868.941
2018,Africa,Import,LNG (271111),1446437222.948
2018,Americas,Export,Gaseous NG (271121),10514407357.2
2018,Americas,Export,LNG (271111),1053164310.15
