period,product,value_usd
2012-07-01,LNG (271111),10862048211.327
2012-08-01,Gaseous NG (271121),14176528865.949
2012-08-01,LNG (271111),10834207426.962
2012-09-01,Gaseous NG (271121),13927097179.855
2012-09-01,LNG (271111),10247325692.509
2012-10-01,LNG (271111),8322647138.451
2012-10-01,Gaseous NG (271121),15647682429.142
2012-11-01,Gaseous NG (271121),14973717261.945
2012-11-01,LNG (271111),8482898301.147
2012-12-01,Gaseous NG (271121),17702550113.484
2012-12-01,LNG (271111),9438434686.77
2013-01-01,Gaseous NG (271121),18860069305.177
2013-01-01,LNG (271111),13271148365.112
2013-02-01,Gaseous NG (271121),16810075136.279
2013-02-01,LNG (271111),12419526655.98
2013-03-01,LNG (271111),12475351929.705
2013-03-01,Gaseous NG (271121),18465757603.934
2013-04-01,Gaseous NG (271121),15950701729.456
2013-04-01,LNG (271111),12721426848.566
2013-05-01,Gaseous NG (271121),14639851931.480999
2013-05-01,LNG (271111),11581260477.914
2013-06-01,Gaseous NG (271121),14328633196.295
2013-06-01,LNG (271111),11345217501.991
2013-07-01,Gaseous NG (271121),14106664357.028
2013-07-01,LNG (271111),11764738492.62
2013-08-01,LNG (271111),11872328219.12
2013-08-01,Gaseous NG (271121),13923111540.769001
2013-09-01,LNG (271111),10488103547.264
2013-09-01,Gaseous NG (271121),14370730173.117
2013-10-01,Gaseous NG (271121),15011548673.749
2013-10-01,LNG (271111),12094897462.859
2013-11-01,Gaseous NG (271121),16460243190.929
2013-11-01,LNG (271111),11158795514.318
2013-12-01,Gaseous NG (271121),18108168945.406002
2013-12-01,LNG (271111),12207770324.677
2014-01-01,Gaseous NG (271121),17142167865.218
2014-01-01,LNG (271111),13873474884.802
2014-02-01,Gaseous NG (271121),15462600184.459
2014-02-01,LNG (271111),13646404822.186
2014-03-01,LNG (271111),13304786936.242
2014-03-01,Gaseous NG (271121),15413568026.879
2014-04-01,Gaseous NG (271121),13911088020.153
2014-04-01,LNG (271111),12980116175.965
2014-05-01,Gaseous NG (271121),13828990708.393
2014-05-01,LNG (271111),11268915681.794
2014-06-01,Gaseous NG (271121),12324403322.681
2014-06-01,LNG (271111),11176902976.836
2014-07-01,Gaseous NG (271121),10504629115.71
2014-07-01,LNG (271111),12547406539.437
2014-08-01,LNG (271111),11274496044.157999
2014-08-01,Gaseous NG (271121),10103516659.594
2014-09-01,Gaseous NG (271121),10907097188.945
2014-09-01,LNG (271111),10384960694.827
2014-10-01,Gaseous NG (271121),11445562385.914999
2014-10-01,LNG (271111),11489646628.7
2014-11-01,Gaseous NG (271121),12731086487.317
2014-11-01,LNG (271111),10524946482.398
2014-12-01,Gaseous NG (271121),14221671546.14
2014-12-01,LNG (271111),13645413678.745
2015-01-01,LNG (271111),12897753461.9
2015-01-01,Gaseous NG (271121),12998059998.148
2015-02-01,Gaseous NG (271121),12467428357.998
2015-02-01,LNG (271111),10124532973.655
2015-03-01,Gaseous NG (271121),11197653618.437
2015-03-01,LNG (271111),9902524467.276001
2015-04-01,Gaseous NG (271121),10189999807.114
2015-04-01,LNG (271111),7775314931.543
2015-05-01,Gaseous NG (271121),9517143946.997
2015-05-01,LNG (271111),6580544139.32
2015-06-01,Gaseous NG (271121),9384129416.726
2015-06-01,LNG (271111),6521115648.458
2015-07-01,LNG (271111),7133192937.856
2015-07-01,Gaseous NG (271121),9798801002.358
2015-08-01,Gaseous NG (271121),9468191760.848
2015-08-01,LNG (271111),6866932032.81
2015-09-01,Gaseous NG (271121),9403528711.834
2015-09-01,LNG (271111),7264699571.637
2015-10-01,Gaseous NG (271121),9938632422.067
