year,1,2,3,4,5,6,7,8,9,10,11,12
2010,0.07932432886585437,0.07505184538582055,0.08875057602018453,0.07929019229711558,0.07115680074471736,0.0769259318429457,0.08470933766593956,0.09264220306222834,0.09059482153924062,0.07732030792026068,0.08728728015793535,0.0969463744977574
2011,0.07171674935405566,0.06641777191152105,0.07846257863227118,0.07315196053956825,0.07942933528667855,0.08054218320880503,0.08842442952976282,0.10056038785197631,0.08954735851482315,0.08438723061461058,0.09272198282827339,0.0946380317276541
2012,0.09657650858340218,0.08156792082196411,0.093009517919048,0.07961850685792408,0.08942901227688171,0.07835785828384856,0.08987198800871196,0.08964163489391036,0.08478580778146116,0.06886112354460178,0.07018703282911208,0.07809308819913395
2013,0.09254599752542605,0.08660723635588623,0.08699653240637661,0.08871252925950858,0.08076160962437544,0.07911557025651703,0.08204108864365836,0.08279136271855349,0.07313850905948446,0.08434344337605365,0.07781556152063211,0.08513055925352793
2014,0.09494740593308086,0.09339338189876562,0.0910554144926143,0.08883342996987645,0.07712230140965336,0.07649258407342792,0.08587204806291189,0.07716049234127126,0.0710726827185157,0.07863294174971956,0.07203071864734605,0.09338659870281708
2015,0.13391244768610305,0.10511915863377608,0.10281412911183885,0.0807281250249487,0.06832327625162772,0.06770625293069589,0.07406121763354012,0.07129673235917403,0.07542660078096922,0.07299300509834743,0.070408925270388,0.07721012921859091
2016,0.09829534409076561,0.0891048257666547,0.09137422804562481,0.07174151145606328,0.06437100424576164,0.06922383739537982,0.06989044484994082,0.08086341578858583,0.08466162593207913,0.0823012411887276,0.09517365362330887,0.10299886761710784
2017,0.08729660208643795,0.08403091028705001,0.0853614948451623,0.07184114822998643,0.07946829446106525,0.08300516597460887,0.08146867404162736,0.08474179353835491,0.07604515480324474,0.079094102333726,0.08558960113186463,0.1020570582668716
2018,0.08073005832068647,0.07886078523935151,0.07766272370532024,0.0661262713050585,0.07356365506143756,0.07517932775925942,0.07898658067068108,0.08788640364225202,0.08282403829307275,0.09322143419678469,0.0974445800604845,0.10751414174561122
2019,0.10813312034398989,0.08995068570838895,0.08747841380117602,0.0814333595077928,0.0786525021509336,0.07325973179113862,0.08106311979038831,0.08032016734969653,0.07643924882259572,0.0726972213776494,0.08144392008205407,0.08912850927419604
2020,0.12403560828447496,0.10230773930774219,0.10170768203737389,0.08586828006480118,0.07746681992700935,0.07442500152265197,0.06892368753472881,0.06027760854169698,0.06271749981295985,0.066700946945129,0.07642393308811223,0.09914519293331953
2021,0.0642450098465283,0.06988628381087017,0.06340909325403875,0.05622946117378607,0.06002949747210698,0.06694833155093406,0.06997848448349249,0.07791785457658061,0.0849379104349037,0.09793131235499519,0.1306119620240189,0.15787479901774482
2022,0.09049806825587038,0.07047537441721974,0.07809038777631289,0.07506421398358015,0.0723094309879323,0.06436818825429479,0.07633054878451578,0.09238611861490167,0.11219517078301613,0.08448730551937161,0.08731244509909662,0.09648274752388787
2023,0.1379569888761898,0.11014791316912374,0.09396537044693767,0.07757361602708517,0.08160012778947076,0.06744624131035742,0.06477515527705822,0.06803332538035727,0.06389988832850567,0.06480006360157373,0.07593400731144427,0.09386730248189626
2024,0.10186868163625065,0.08903989450281354,0.07879405692200217,0.07506374670566132,0.07967312589121117,0.07138436685192322,0.07896171039335627,0.08246768503541549,0.07942639028398445,0.08685236264473956,0.08151096840844006,0.09495701072420212
