month,mean_share
1,0.1020755390459392
2,0.08792140915413664
3,0.0835316235338923
4,0.07813036790047621
5,0.07950262642267666
6,0.07241305249720094
7,0.07634906337281708
8,0.0816736634404907
9,0.08462167152561813
10,0.08009927074532648
11,0.08211006485776223
12,0.09157164750366346
