refYear,month,product,value_usd
2016,4,LNG (271111),5273796517.2699995
2016,5,Gaseous NG (271121),6633176525.344
2016,5,LNG (271111),4731982517.714
2016,6,Gaseous NG (271121),6287547592.229
2016,6,LNG (271111),5088719559.406
2016,7,Gaseous NG (271121),6990816327.726999
2016,7,LNG (271111),5137722598.245
2016,8,Gaseous NG (271121),7702893051.767
2016,8,LNG (271111),5944357623.711
2016,9,Gaseous NG (271121),7491357721.797
2016,9,LNG (271111),6223568181.449
2016,10,Gaseous NG (271121),8735166540.188
2016,10,LNG (271111),6050053732.335
2016,11,Gaseous NG (271121),10158482301.89
2016,11,LNG (271111),6996318767.578
2016,12,Gaseous NG (271121),10814410723.939999
2016,12,LNG (271111),7571558757.227
2017,1,Gaseous NG (271121),11475603392.764
2017,1,LNG (271111),8382617501.047
2017,2,Gaseous NG (271121),10832651780.017
2017,2,LNG (271111),8069030894.28
2017,3,Gaseous NG (271121),9617627334.756
2017,3,LNG (271111),8196799686.385
2017,4,Gaseous NG (271121),9048035861.036
2017,4,LNG (271111),6898514398.667
2017,5,Gaseous NG (271121),8660665194.218
2017,5,LNG (271111),7630907733.019
2017,6,Gaseous NG (271121),8125009316.272
2017,6,LNG (271111),7970534251.575
2017,7,Gaseous NG (271121),8282917348.473001
2017,7,LNG (271111),7822993295.114
2017,8,Gaseous NG (271121),8320915581.873
2017,8,LNG (271111),8137293143.224
2017,9,Gaseous NG (271121),9002226968.812
2017,9,LNG (271111),7302202265.471
2017,10,Gaseous NG (271121),9988064025.927
2017,10,LNG (271111),7594976099.938
2017,11,Gaseous NG (271121),10928150681.623001
2017,11,LNG (271111),8218703491.405
2017,12,Gaseous NG (271121),12768821186.838
2017,12,LNG (271111),9799983759.805
2018,1,Gaseous NG (271121),13789700387.569
2018,1,LNG (271111),10769691528.602
2018,2,Gaseous NG (271121),13277035927.427
2018,2,LNG (271111),10520323512.68
2018,3,Gaseous NG (271121),14836069230.989
2018,3,LNG (271111),10360497625.988
2018,4,Gaseous NG (271121),10428699458.027
2018,4,LNG (271111),8821491755.44
2018,5,Gaseous NG (271121),10283128858.322
2018,5,LNG (271111),9813666547.608
2018,6,Gaseous NG (271121),10035906921.724
2018,6,LNG (271111),10029203324.475
2018,7,Gaseous NG (271121),11129892971.916
2018,7,LNG (271111),10537105093.411
2018,8,Gaseous NG (271121),11073667537.044
2018,8,LNG (271111),11724374743.115
2018,9,Gaseous NG (271121),11713747524.852
2018,9,LNG (271111),11049036283.688
2018,10,Gaseous NG (271121),12213488932.299
2018,10,LNG (271111),12436087760.09
2018,11,Gaseous NG (271121),12676235257.546999
2018,11,LNG (271111),12999471203.362999
2018,12,Gaseous NG (271121),13444760423.86
2018,12,LNG (271111),14342788369.644
2019,1,Gaseous NG (271121),14451976053.259
2019,1,LNG (271111),14307099608.524
2019,2,Gaseous NG (271121),12910951768.982
2019,2,LNG (271111),11901380596.352
2019,3,Gaseous NG (271121),12051720664.612999
2019,3,LNG (271111),11574274152.708
2019,4,Gaseous NG (271121),10079601428.653
2019,4,LNG (271111),10774452658.246
2019,5,Gaseous NG (271121),10066981749.592
2019,5,LNG (271111),10406517255.336
2019,6,Gaseous NG (271121),9169935287.718
2019,6,LNG (271111),9692999487.07
2019,7,Gaseous NG (271121),9074823160.184
2019,7,LNG (271111),10725466219.132
2019,8,Gaseous NG (271121),8317717377.066
2019,8,LNG (271111),10627166137.348
2019,9,Gaseous NG (271121),8009806086.281
2019,9,LNG (271111),10113681575.327
2019,10,Gaseous NG (271121),8540927233.193
2019,10,LNG (271111),9618573700.678
2019,11,Gaseous NG (271121),9822924912.731
2019,11,LNG (271111),10775849928.457
2019,12,Gaseous NG (271121),10567823377.611
2019,12,LNG (271111),11792598383.258
2020,1,Gaseous NG (271121),9363384326.055
2020,1,LNG (271111),12441171608.734
2020,2,Gaseous NG (271121),8312590218.441
2020,2,LNG (271111),10261796263.457
2020,3,Gaseous NG (271121),8036126530.843
2020,3,LNG (271111),10201608583.653
2020,4,Gaseous NG (271121),6494902828.608
2020,4,LNG (271111),8612865473.138
2020,5,Gaseous NG (271121),5889806844.332
2020,5,LNG (271111),7770171920.989
2020,6,Gaseous NG (271121),5576428451.227
2020,6,LNG (271111),7465067723.133
2020,7,Gaseous NG (271121),6057181091.948999
2020,7,LNG (271111),6913268184.727
2020,8,Gaseous NG (271121),6398512239.024
2020,8,LNG (271111),6046038572.338
2020,9,Gaseous NG (271121),6822946381.221
2020,9,LNG (271111),6290767537.127
2020,10,Gaseous NG (271121),8106396945.577001
2020,10,LNG (271111),6690320133.765
2020,11,Gaseous NG (271121),8859175958.36
2020,11,LNG (271111),7665567007.04
