refYear,month,product,value_usd,annual_total_usd,share,regime
2012,7,LNG (271111),10862048211.327,120861332346.115,0.08987198800871196,Pre-COVID
2012,8,Gaseous NG (271121),14176528865.949,190127613535.373,0.07456322941386667,Pre-COVID
2012,8,LNG (271111),10834207426.962,120861332346.115,0.08964163489391036,Pre-COVID
2012,9,Gaseous NG (271121),13927097179.855,190127613535.373,0.07325131221543409,Pre-COVID
2012,9,LNG (271111),10247325692.509,120861332346.115,0.08478580778146116,Pre-COVID
2012,10,Gaseous NG (271121),15647682429.142,190127613535.373,0.08230094586566075,Pre-COVID
2012,10,LNG (271111),8322647138.451,120861332346.115,0.06886112354460178,Pre-COVID
2012,11,Gaseous NG (271121),14973717261.945,190127613535.373,0.07875614164356594,Pre-COVID
2012,11,LNG (271111),8482898301.147,120861332346.115,0.07018703282911208,Pre-COVID
2012,12,Gaseous NG (271121),17702550113.484,190127613535.373,0.09310877985743225,Pre-COVID
2012,12,LNG (271111),9438434686.77,120861332346.115,0.07809308819913395,Pre-COVID
2013,1,Gaseous NG (271121),18860069305.177,191035555783.62,0.09872544002509778,Pre-COVID
2013,1,LNG (271111),13271148365.112,143400565340.126,0.09254599752542605,Pre-COVID
2013,2,Gaseous NG (271121),16810075136.279,191035555783.62,0.0879944838924082,Pre-COVID
2013,2,LNG (271111),12419526655.98,143400565340.126,0.08660723635588623,Pre-COVID
2013,3,Gaseous NG (271121),18465757603.934,191035555783.62,0.09666136509608496,Pre-COVID
2013,3,LNG (271111),12475351929.705,143400565340.126,0.08699653240637661,Pre-COVID
2013,4,Gaseous NG (271121),15950701729.456,191035555783.62,0.08349598410634543,Pre-COVID
2013,4,LNG (271111),12721426848.566,143400565340.126,0.08871252925950858,Pre-COVID
2013,5,Gaseous NG (271121),14639851931.480999,191035555783.62,0.07663417352559804,Pre-COVID
2013,5,LNG (271111),11581260477.914,143400565340.126,0.08076160962437544,Pre-COVID
2013,6,Gaseous NG (271121),14328633196.295,191035555783.62,0.07500505933316726,Pre-COVID
2013,6,LNG (271111),11345217501.991,143400565340.126,0.07911557025651703,Pre-COVID
2013,7,Gaseous NG (271121),14106664357.028,191035555783.62,0.07384313511253464,Pre-COVID
2013,7,LNG (271111),11764738492.62,143400565340.126,0.08204108864365836,Pre-COVID
2013,8,Gaseous NG (271121),13923111540.769001,191035555783.62,0.07288230446765247,Pre-COVID
2013,8,LNG (271111),11872328219.12,143400565340.126,0.08279136271855349,Pre-COVID
2013,9,Gaseous NG (271121),14370730173.117,191035555783.62,0.07522542133148385,Pre-COVID
2013,9,LNG (271111),10488103547.264,143400565340.126,0.07313850905948446,Pre-COVID
2013,10,Gaseous NG (271121),15011548673.749,191035555783.62,0.07857986756534534,Pre-COVID
2013,10,LNG (271111),12094897462.859,143400565340.126,0.08434344337605365,Pre-COVID
2013,11,Gaseous NG (271121),16460243190.929,191035555783.62,0.08616324392289049,Pre-COVID
2013,11,LNG (271111),11158795514.318,143400565340.126,0.07781556152063211,Pre-COVID
2013,12,Gaseous NG (271121),18108168945.406002,191035555783.62,0.09478952162139156,Pre-COVID
2013,12,LNG (271111),12207770324.677,143400565340.126,0.08513055925352793,Pre-COVID
2014,1,Gaseous NG (271121),17142167865.218,157996381511.404,0.1084972181086356,Pre-COVID
2014,1,LNG (271111),13873474884.802,146117471546.09,0.09494740593308086,Pre-COVID
2014,2,Gaseous NG (271121),15462600184.459,157996381511.404,0.09786679945795422,Pre-COVID
2014,2,LNG (271111),13646404822.186,146117471546.09,0.09339338189876562,Pre-COVID
2014,3,Gaseous NG (271121),15413568026.879,157996381511.404,0.09755646223939923,Pre-COVID
2014,3,LNG (271111),13304786936.242,146117471546.09,0.0910554144926143,Pre-COVID
2014,4,Gaseous NG (271121),13911088020.153,157996381511.404,0.0880468773213576,Pre-COVID
2014,4,LNG (271111),12980116175.965,146117471546.09,0.08883342996987645,Pre-COVID
2014,5,Gaseous NG (271121),13828990708.393,157996381511.404,0.08752726218223447,Pre-COVID
2014,5,LNG (271111),11268915681.794,146117471546.09,0.07712230140965336,Pre-COVID
2014,6,Gaseous NG (271121),12324403322.681,157996381511.404,0.07800433911704135,Pre-COVID
2014,6,LNG (271111),11176902976.836,146117471546.09,0.07649258407342792,Pre-COVID
2014,7,Gaseous NG (271121),10504629115.71,157996381511.404,0.06648651706591006,Pre-COVID
2014,7,LNG (271111),12547406539.437,146117471546.09,0.08587204806291189,Pre-COVID
2014,8,Gaseous NG (271121),10103516659.594,157996381511.404,0.06394777249290827,Pre-COVID
2014,8,LNG (271111),11274496044.157999,146117471546.09,0.07716049234127126,Pre-COVID
2014,9,Gaseous NG (271121),10907097188.945,157996381511.404,0.06903384169059427,Pre-COVID
2014,9,LNG (271111),10384960694.827,146117471546.09,0.0710726827185157,Pre-COVID
2014,10,Gaseous NG (271121),11445562385.914999,157996381511.404,0.07244192731773968,Pre-COVID
2014,10,LNG (271111),11489646628.7,146117471546.09,0.07863294174971956,Pre-COVID
2014,11,Gaseous NG (271121),12731086487.317,157996381511.404,0.08057834214638697,Pre-COVID
2014,11,LNG (271111),10524946482.398,146117471546.09,0.07203071864734605,Pre-COVID
