month,mean_share
1,0.12287266687285198
2,0.1003083655575677
3,0.07775852937078322
4,0.07058302885580263
5,0.07240605712941689
6,0.06298764689189407
7,0.06821658808294268
8,0.07529025263814046
9,0.07920664448638556
10,0.0731986916453519
11,0.09104400775156825
12,0.10612752071729471
